"범죄별(1)",범죄별(2),범죄별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과,소계,1개월이내,3개월이내,6개월이내,1년이내,2년이내,3년이내,3년초과
"특별법범",근로기준법,소계,1404,482,14,28,60,142,83,60,95,922,6,24,39,106,85,87,575,920,276,9,20,26,64,41,35,81,644,13,16,19,66,70,66,394
"특별법범",근로자퇴직급여보장법,소계,265,67,1,6,7,12,11,8,22,198,1,2,5,16,21,15,138,184,43,2,5,1,10,6,5,14,141,4,0,6,8,14,9,100
"특별법범",낚시관리및육성법,소계,111,38,-,4,4,10,3,6,11,73,-,-,3,5,6,4,55,113,26,2,1,1,8,5,2,7,87,0,0,3,16,15,5,48
"특별법범",노동조합 및 노동관계조정법,소계,15,1,-,-,-,-,-,-,1,14,-,-,-,2,-,1,11,7,1,0,0,0,0,1,0,0,6,0,0,0,0,1,1,4
"특별법범",농수산물유통 및 가격안정에 관한법률,소계,9,2,-,-,-,-,1,-,1,7,1,-,-,-,1,1,4,8,1,0,0,0,1,0,0,0,7,0,0,0,1,0,1,5
"특별법범",농수산물의원산지표시에관한법률,소계,149,26,-,-,-,2,2,7,15,123,-,2,3,4,7,10,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시등에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,13,0,0,0,1,0,2,10,116,0,0,0,6,9,13,88
"특별법범",농지법,소계,1114,94,4,6,9,32,14,9,20,1020,7,8,10,83,36,68,808,754,66,2,5,5,19,10,9,16,688,4,7,19,69,37,57,495
"특별법범",대기환경보전법,소계,1061,205,8,12,17,52,22,22,72,856,6,4,16,68,66,75,621,927,154,3,6,15,52,24,11,43,773,2,8,12,71,61,71,548
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,570,113,4,2,17,37,9,9,35,457,7,11,18,91,37,57,236,474,73,6,1,10,14,9,13,20,401,7,9,8,91,58,43,185
"특별법범",도로교통법,소계,5939,1081,35,66,64,186,111,129,490,4858,58,113,147,602,468,546,2924,5763,994,44,50,69,190,98,105,438,4769,64,113,135,595,455,548,2859
"특별법범",도로교통법(무면허운전),소계,13650,5679,224,409,496,1445,839,620,1646,7971,188,484,645,2199,1366,895,2194,14000,5814,228,465,495,1512,841,671,1602,8186,209,496,639,2078,1414,1050,2300
"특별법범",도로교통법(사고후미조치),소계,3025,566,14,17,24,76,63,57,315,2459,20,49,60,249,244,264,1573,3151,606,11,20,17,77,57,50,374,2545,16,47,60,211,228,296,1687
"특별법범",도로교통법(음주운전),소계,59308,28229,189,283,403,1575,1728,2574,21477,31079,177,456,712,3145,3155,3414,20020,63992,30025,203,344,410,1637,1635,2307,23489,33967,211,476,723,2920,3179,3898,22560
"특별법범",도로교통법(음주측정거부),소계,2619,1233,18,16,30,102,89,141,837,1386,15,20,37,183,161,165,805,3167,1403,18,19,30,94,108,125,1009,1764,16,35,42,188,176,240,1067
"특별법범",도로법,소계,2794,544,22,14,12,52,19,25,400,2250,10,24,29,155,121,172,1739,4046,884,28,29,15,99,39,52,622,3162,9,22,47,173,180,263,2468
"특별법범",도시및주거환경정비법,소계,245,58,2,3,2,24,6,15,6,187,2,5,2,23,13,16,126,196,57,1,3,2,22,10,11,8,139,0,1,1,11,8,22,96
"특별법범",독점규제 및 공정거래에 관한법률,소계,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"특별법범",디자인보호법,소계,29,1,-,-,-,1,-,-,-,28,-,1,-,3,4,-,20,17,0,0,0,0,0,0,0,0,17,0,0,0,2,0,3,12
"특별법범",마약류관리에 관한 법률(대마),소계,978,256,12,9,16,103,28,37,51,722,5,9,13,156,80,99,360,1116,375,24,22,18,158,33,58,62,741,12,14,14,130,70,105,396
"특별법범",마약류관리에 관한 법률(마약),소계,559,98,5,10,17,25,7,12,22,461,2,14,11,37,22,14,361,673,89,3,5,8,25,14,15,19,584,2,4,8,26,27,25,492
"특별법범",마약류관리에 관한 법률(향정),소계,4005,1958,60,86,123,571,334,411,373,2047,24,46,97,427,262,312,879,4627,2101,63,90,121,600,347,451,429,2526,31,90,109,514,330,450,1002
"특별법범",물환경보전법,소계,174,9,-,1,1,3,1,-,3,165,-,-,1,14,16,9,125,203,13,0,2,3,3,4,0,1,190,2,2,2,9,16,16,143
"특별법범",배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,소계,6,6,-,-,-,-,2,1,3,-,-,-,-,-,-,-,-,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"특별법범",범죄수익은닉의 규제 및 처벌 등에 관한법률,소계,27,6,-,-,-,1,3,1,1,21,1,1,-,1,1,6,11,31,4,0,1,1,1,0,1,0,27,1,0,1,3,2,1,19
"특별법범",변호사법,소계,127,25,2,1,1,3,3,7,8,102,1,-,1,9,6,17,68,141,29,1,0,2,8,3,6,9,112,1,3,5,12,7,13,71
